"","carat","cut","color","clarity","depth","table","price","x","y","z"
"1",2,"Premium","J","I1",61.5,59,5051,8.11,8.06,4.97
"2",2.06,"Premium","J","I1",61.2,58,5203,8.1,8.07,4.95
"3",2.08,"Premium","H","I1",61.7,57,6150,8.23,8.18,5.06
"4",2,"Premium","H","I1",59.7,62,6344,8.19,8.02,4.85
"5",2.15,"Premium","H","I1",62.9,57,6357,8.25,8.2,5.18
"6",2.03,"Premium","G","I1",61.1,58,6377,8.11,8.06,4.94
"7",2.21,"Premium","H","I1",62.2,58,6535,8.31,8.27,5.16
"8",2.3,"Premium","G","I1",60.2,59,7226,8.71,8.56,5.19
"9",2.04,"Premium","I","I1",61.1,61,7403,8.25,8.12,5
"10",2.03,"Premium","H","I1",59.4,59,7421,8.31,8.22,4.91
"11",2.12,"Premium","G","I1",60,58,7508,8.39,8.28,4.99
"12",3.01,"Premium","I","I1",62.7,58,8040,9.1,8.97,5.67
"13",2.33,"Premium","H","I1",60.7,58,8220,8.64,8.56,5.22
"14",2.04,"Premium","I","I1",59.3,61,8408,8.3,8.25,4.91
"15",2.68,"Premium","G","I1",58.6,60,8419,9.11,9.07,5.33
"16",2.5,"Premium","H","I1",59.9,60,8467,8.75,8.67,5.22
"17",2.34,"Premium","I","I1",61.5,60,8491,8.47,8.43,5.2
"18",2.02,"Premium","J","SI2",63,58,8640,8.07,8.02,5.07
"19",2.17,"Premium","F","I1",60.7,59,9078,8.43,8.35,5.09
"20",2,"Premium","J","VS1",63,58,9296,8.04,7.99,5.05
"21",2.03,"Premium","J","SI2",60.4,59,9435,8.15,8.12,4.91
"22",2.01,"Premium","I","SI2",62.5,60,9658,8.04,7.95,5
"23",2.01,"Premium","I","SI2",62.1,60,9658,8.1,8.03,5.01
"24",2.01,"Premium","I","SI2",63,59,9658,8.04,7.97,5.04
"25",2.43,"Premium","G","I1",61.7,60,9716,8.54,8.49,5.25
"26",2.04,"Premium","G","I1",62.4,58,9727,8.08,8.17,5.07
"27",2.02,"Premium","J","SI2",59.7,56,9728,8.18,8.13,4.87
"28",2.01,"Premium","J","SI1",61.7,60,9793,8.12,8.09,5
"29",2.05,"Premium","I","SI2",62.1,59,9850,8.13,8.07,5.03
"30",2.05,"Premium","I","SI2",62,58,9850,8.13,8.08,5.02
"31",2.05,"Premium","I","SI2",62,58,9850,8.13,8.08,5.02
"32",2.04,"Premium","G","I1",62.4,58,9905,8.17,8.08,5.07
"33",3.01,"Premium","F","I1",62.2,56,9925,9.24,9.13,5.73
"34",2.06,"Premium","F","I1",58.7,61,9967,8.33,8.31,4.88
"35",2.09,"Premium","I","SI2",60.1,59,10042,8.34,8.3,5
"36",2.19,"Premium","J","SI2",58.8,58,10179,8.57,8.53,5.03
"37",2.09,"Premium","H","SI2",61,60,10182,8.28,8.19,5.02
"38",2.14,"Premium","J","SI2",58.4,58,10306,8.52,8.5,4.97
"39",2.01,"Premium","J","VS2",58.6,61,10401,8.18,8.14,4.78
"40",2.01,"Premium","J","SI1",59.8,57,10412,8.17,8.13,4.87
"41",2.77,"Premium","H","I1",62.6,62,10424,8.93,8.83,5.56
"42",3.05,"Premium","E","I1",60.9,58,10453,9.26,9.25,5.66
"43",2.46,"Premium","E","SI2",59.7,59,10470,8.82,8.76,5.25
"44",2,"Premium","I","SI2",62.3,57,10528,8.12,8.05,5.03
"45",2.01,"Premium","I","SI2",62.7,58,10558,8.02,7.97,5.01
"46",2.63,"Premium","J","I1",62.3,61,10628,8.81,8.76,5.47
"47",2.38,"Premium","J","SI2",60.6,59,10716,8.66,8.63,5.24
"48",2,"Premium","G","SI2",60.7,60,10833,8.13,8.07,4.92
"49",2,"Premium","G","SI2",60.7,60,10833,8.13,8.07,4.92
"50",2.03,"Premium","H","SI2",58.1,59,10879,8.36,8.31,4.86
"51",2.24,"Premium","H","SI2",61.8,58,10913,8.41,8.34,5.18
"52",2.32,"Premium","I","SI2",62.1,58,10913,8.47,8.43,5.25
"53",2,"Premium","I","SI2",60,58,10976,8.23,8.17,4.92
"54",2.3,"Premium","I","SI2",61.3,58,11051,8.53,8.46,5.21
"55",2.02,"Premium","I","VS2",61.2,60,11059,8.22,8.13,5
"56",2.07,"Premium","H","SI2",59.6,60,11094,8.3,8.24,4.93
"57",2,"Premium","J","SI2",60.9,54,11106,8.17,8.12,4.96
"58",2,"Premium","H","SI2",61.4,59,11108,8.07,8,4.93
"59",2.25,"Premium","I","SI2",61.9,59,11114,8.42,8.35,5.19
"60",2.02,"Premium","I","SI1",62.1,58,11119,8.1,8.04,5.01
"61",2.2,"Premium","H","SI2",58.2,59,11147,8.52,8.47,4.94
"62",2.02,"Premium","J","SI2",62.1,60,11165,7.98,8.09,4.99
"63",2.01,"Premium","J","SI1",60.3,56,11188,8.02,7.96,4.82
"64",2.06,"Premium","I","SI2",62.2,60,11190,8.14,8.1,5.05
"65",2,"Premium","F","SI2",60.6,62,11198,8.19,7.84,4.86
"66",2,"Premium","H","SI1",61.7,58,11200,7.82,7.77,4.81
"67",2,"Premium","H","SI2",62.1,60,11202,8.1,8.01,5.3
"68",2.04,"Premium","J","VS2",60.9,59,11209,8.25,8.21,5.01
"69",2.26,"Premium","H","SI2",61.9,58,11226,8.37,8.33,5.17
"70",2.01,"Premium","I","SI2",63,56,11312,8.05,7.96,5.05
"71",2,"Premium","G","SI2",61.7,60,11355,7.95,7.9,4.89
"72",2,"Premium","F","SI2",61.5,59,11413,8.03,7.95,4.92
"73",2.02,"Premium","J","SI2",62.7,60,11463,7.98,8.1,5.04
"74",2.16,"Premium","H","SI2",62.3,57,11473,8.29,8.22,5.14
"75",2,"Premium","G","SI2",61.4,59,11544,8.14,8.06,4.97
"76",2.18,"Premium","H","SI2",62.3,59,11579,8.37,8.26,5.18
"77",2.01,"Premium","H","SI2",61.5,59,11635,8.12,8.08,4.98
"78",2.33,"Premium","J","SI1",61.1,58,11638,8.6,8.56,5.24
"79",2.01,"Premium","H","SI2",61.9,59,11646,8.13,7.97,4.98
"80",2.01,"Premium","I","SI1",61.3,60,11646,8.09,8.05,4.95
"81",2.01,"Premium","H","SI2",61.8,62,11646,8.05,7.97,4.95
"82",2.11,"Premium","J","SI2",62,60,11663,8.19,8.24,5.09
"83",2,"Premium","J","VS1",62,62,11793,8.02,7.91,4.94
"84",2.04,"Premium","H","SI2",58,58,11820,8.45,8.36,4.88
"85",2.01,"Premium","H","SI2",62.5,62,11825,8.09,8.04,5.04
"86",2.08,"Premium","H","SI2",60,60,11851,8.31,8.28,4.98
"87",2,"Premium","J","SI2",61.9,55,11899,8.09,8.06,5
"88",2,"Premium","J","SI2",59.8,60,11899,8.13,8.09,4.85
"89",2.01,"Premium","F","SI2",62,60,11903,7.88,7.82,4.87
"90",2.02,"Premium","F","SI2",61,59,11962,8.2,8.13,4.98
"91",2,"Premium","J","VS2",62.9,60,11966,7.99,7.95,5.01
"92",2.24,"Premium","J","VS1",60.9,58,11970,8.46,8.41,5.14
"93",2,"Premium","H","SI2",62.8,57,11975,8.05,8.01,5.04
"94",2.15,"Premium","G","SI2",61.2,58,11985,8.42,8.3,5.1
"95",2.03,"Premium","F","SI2",60.9,59,12021,8.15,8.11,4.95
"96",2.01,"Premium","J","SI2",60.8,58,12048,8.19,8.13,4.96
"97",2.01,"Premium","J","SI1",60.9,58,12048,8.15,8.07,4.94
"98",2.01,"Premium","J","SI1",62.3,59,12048,8.03,7.97,4.98
"99",2.09,"Premium","H","SI1",60.5,61,12063,8.32,8.25,5.01
"100",2.5,"Premium","H","SI2",62.7,59,12071,8.65,8.61,5.41
"101",2.03,"Premium","J","SI2",60.9,60,12078,8.21,8.1,4.97
"102",2.03,"Premium","J","SI2",61.7,61,12078,8.18,8.04,5
"103",2.01,"Premium","J","SI2",62.4,59,12105,8.05,8.1,5.04
"104",2.02,"Premium","D","SI2",61.1,57,12108,8.12,8.05,4.94
"105",2.12,"Premium","J","SI2",62.3,61,12140,8.21,8.16,5.1
"106",2,"Premium","H","SI2",62.7,58,12168,8.06,8.01,5.04
"107",2.01,"Premium","I","SI2",62.3,59,12182,8.01,7.97,4.98
"108",2.01,"Premium","J","SI1",60.7,61,12209,8.15,8.1,4.93
"109",2,"Premium","H","SI2",58.9,57,12210,8.09,58.9,8.06
"110",2.01,"Premium","G","SI2",60.8,61,12260,8.14,8.07,4.93
"111",2.03,"Premium","J","SI2",61.6,58,12268,8.12,8.15,5.01
"112",2.03,"Premium","J","SI2",62.7,59,12268,8.02,8.08,5.05
"113",2.31,"Premium","H","SI2",62.1,58,12269,8.55,8.47,5.29
"114",2.01,"Premium","H","SI1",60,60,12271,8.16,8.13,4.89
"115",3.24,"Premium","H","I1",62.1,58,12300,9.44,9.4,5.85
"116",2,"Premium","J","SI1",62.2,59,12308,7.97,7.92,4.94
"117",2.1,"Premium","J","SI2",62,62,12308,8.23,8.17,5.08
"118",2.17,"Premium","G","SI2",62.2,62,12321,8.32,8.24,5.15
"119",2.21,"Premium","J","SI2",60.6,62,12327,8.45,8.37,5.1
"120",2.01,"Premium","I","SI2",62,56,12338,8.01,7.87,4.92
"121",2.01,"Premium","I","SI2",62,56,12338,8.01,7.87,4.92
"122",2.04,"Premium","H","SI1",62.2,60,12341,8.07,8,5
"123",2.38,"Premium","J","SI1",62.4,58,12364,8.54,8.46,5.31
"124",2.01,"Premium","J","SI1",60.5,59,12369,8.12,8.01,4.88
"125",2.01,"Premium","J","SI1",59.3,62,12369,8.2,8.15,4.85
"126",2.09,"Premium","F","SI2",61.3,59,12377,8.19,8.15,5.01
"127",2.09,"Premium","F","SI2",61.2,57,12377,8.26,8.21,5.04
"128",2.03,"Premium","J","SI2",62.7,59,12380,8.08,8.02,5.05
"129",2.03,"Premium","J","SI2",61.6,58,12380,8.15,8.12,5.01
"130",2,"Premium","G","SI2",60.3,57,12388,8.25,8.06,4.92
"131",2.1,"Premium","J","VS2",58.3,54,12401,8.49,8.45,4.94
"132",2.01,"Premium","J","SI2",62,59,12403,8.04,8.1,5
"133",2.01,"Premium","J","SI2",62.8,58,12407,8.09,8,5.05
"134",2.01,"Premium","J","SI2",61.4,60,12407,8.14,8.07,4.98
"135",2.01,"Premium","H","SI2",60.8,59,12423,8.08,8,4.89
"136",2.02,"Premium","J","SI1",61.6,58,12431,8.14,8.1,5
"137",2.11,"Premium","J","SI2",61,58,12440,8.2,8.29,5.03
"138",2.11,"Premium","J","SI2",60.7,60,12440,8.2,8.27,5
"139",2.08,"Premium","H","SI2",59.7,59,12454,8.38,8.29,4.98
"140",2.04,"Premium","H","SI1",60.6,61,12454,8.15,8.09,4.92
"141",2.15,"Premium","H","SI2",62.2,56,12458,8.29,8.2,5.13
"142",2.03,"Premium","J","SI1",60.1,58,12492,8.26,8.21,4.95
"143",2.1,"Premium","J","SI2",59.1,58,12494,8.46,8.4,4.98
"144",2.3,"Premium","J","SI1",59.6,59,12499,8.61,8.56,5.12
"145",2,"Premium","G","SI2",59.1,59,12521,8.2,8.14,4.83
"146",2.03,"Premium","J","SI2",62.7,59,12531,8.08,8.02,5.05
"147",2.01,"Premium","J","VS2",61.8,61,12541,8.06,7.97,4.95
"148",2.11,"Premium","J","SI2",60.7,60,12554,8.27,8.2,5
"149",2.11,"Premium","J","SI2",61,58,12554,8.29,8.2,5.03
"150",2,"Premium","D","SI2",59.3,62,12576,8.12,8.06,4.8
"151",2.01,"Premium","I","SI1",61,60,12617,8.16,8.11,4.96
"152",2.18,"Premium","H","SI2",59.4,61,12631,8.49,8.45,0
"153",2.11,"Premium","H","SI2",60.9,59,12633,8.3,8.25,5.04
"154",2.08,"Premium","H","SI2",62.8,60,12655,8.12,8.03,5.07
"155",2.06,"Premium","H","SI2",62.6,58,12677,8.06,8.03,5.04
"156",2.02,"Premium","H","SI2",61.7,61,12680,8.14,8.08,5.01
"157",2.01,"Premium","J","SI1",60.5,59,12690,8.12,8.01,4.88
"158",2.12,"Premium","H","SI2",62.3,58,12693,8.25,8.16,5.12
"159",2.2,"Premium","H","SI2",61.5,58,12747,8.44,8.38,5.18
"160",2.13,"Premium","H","SI2",62.4,56,12753,8.26,8.19,5.13
"161",2.05,"Premium","I","VS1",60.3,59,12766,8.25,8.21,4.96
"162",2.23,"Premium","J","SI2",60.5,61,12770,8.47,8.4,5.1
"163",2.14,"Premium","G","SI2",60.1,58,12792,8.4,8.35,5.03
"164",2.04,"Premium","G","SI2",61.3,60,12794,8.18,8.13,5
"165",2.01,"Premium","I","SI1",60.5,58,12829,8.2,8.06,4.92
"166",2.01,"Premium","H","SI1",61.2,62,12829,8.18,8.12,4.99
"167",2.02,"Premium","J","VS2",61.1,58,12832,8.04,8.1,4.93
"168",2.06,"Premium","I","SI2",61.1,57,12842,8.3,8.24,5.05
"169",2.03,"Premium","I","SI1",59.8,59,12844,8.29,8.24,4.94
"170",2.05,"Premium","G","SI2",62.1,56,12857,8.18,8.1,5.04
"171",2.03,"Premium","J","SI1",62.1,59,12862,8.06,8.12,5.02
"172",2.08,"Premium","G","SI2",62.2,60,12883,8.16,8.09,5.06
"173",2.05,"Premium","D","SI2",60,58,12891,8.31,8.23,4.96
"174",2.01,"Premium","E","SI1",60.4,61,12898,8.05,7.98,4.84
"175",2.23,"Premium","H","SI2",59.4,59,12921,8.6,8.54,5.09
"176",2.06,"Premium","H","SI2",62.6,58,12931,8.06,8.03,5.04
"177",2,"Premium","H","SI2",62.5,58,12940,8.14,8.03,5.05
"178",2.01,"Premium","J","VS1",60.2,61,12963,8.23,8.16,4.93
"179",2.18,"Premium","J","SI2",62.6,58,12970,8.25,8.23,5.16
"180",2.14,"Premium","I","SI2",62.1,58,12970,8.31,8.23,5.13
"181",2.03,"Premium","J","SI1",62.1,59,12979,8.12,8.06,5.02
"182",2.13,"Premium","I","SI2",59.8,58,12980,8.43,8.37,5.02
"183",2,"Premium","E","SI2",60.3,58,12987,8.15,8.08,4.89
"184",2.01,"Premium","I","VS2",59.5,60,13003,8.26,8.21,4.9
"185",2,"Premium","G","SI2",60.8,55,13007,8.09,7.95,4.88
"186",2.44,"Premium","I","SI2",61.4,56,13027,8.74,8.7,5.35
"187",2.11,"Premium","J","VS2",59.9,60,13046,8.36,8.41,5.02
"188",2.01,"Premium","I","SI2",58.2,61,13052,8.24,8.2,4.78
"189",2.2,"Premium","J","SI2",60.9,60,13065,8.42,8.34,5.1
"190",2.02,"Premium","I","VS2",59.2,58,13068,8.29,8.25,4.89
"191",2.23,"Premium","J","SI1",62.1,59,13069,8.29,8.33,5.16
"192",2.11,"Premium","G","SI2",61.4,62,13069,8.25,8.21,5.05
"193",2.17,"Premium","F","SI2",59.3,61,13084,8.6,8.53,5.08
"194",2.09,"Premium","J","SI2",60,60,13092,8.32,8.37,5.01
"195",2,"Premium","D","SI2",61.9,59,13098,8.02,8,4.98
"196",2.02,"Premium","I","SI2",58,58,13117,8.34,8.25,4.81
"197",2.02,"Premium","I","SI2",61.2,58,13117,8.11,8.04,4.94
"198",2.09,"Premium","H","SI2",60.9,58,13119,8.23,8.2,5
"199",2.01,"Premium","J","SI2",60.8,57.2,13133,8.13,8.15,4.95
"200",2,"Premium","H","SI2",61.5,61,13134,8.13,8.1,4.99
"201",2.13,"Premium","J","SI2",62.6,58,13148,8.21,8.18,5.13
"202",2,"Premium","J","VS2",60.8,62,13162,8.12,8.09,4.93
"203",2.03,"Premium","I","SI2",63,56,13182,8.12,8.05,5.09
"204",2.03,"Premium","I","SI2",62.8,59,13182,8.08,8.04,5.06
"205",2.06,"Premium","I","SI2",62.7,60,13198,8.11,8.06,5.07
"206",2.01,"Premium","H","SI2",61.9,57,13199,8.13,7.96,4.98
"207",3,"Premium","G","I1",59.7,60,13203,9.42,9.26,5.58
"208",2.14,"Premium","J","SI2",61.5,59,13205,8.25,8.3,5.11
"209",2.09,"Premium","J","SI2",60,60,13212,8.37,8.32,5.01
"210",2.01,"Premium","J","SI1",63,57,13219,8.07,8,5.06
"211",2.01,"Premium","J","VS2",61.5,60,13228,8.13,8.07,4.98
"212",2.01,"Premium","J","VS2",61.1,59,13228,8.07,8.04,4.92
"213",2.03,"Premium","D","SI2",61.7,58,13229,8.14,8.1,5.01
"214",2.02,"Premium","H","SI1",61.4,61,13229,8.09,8.03,4.95
"215",2.11,"Premium","H","SI2",61,58,13233,8.31,8.27,5.06
"216",2.17,"Premium","H","SI1",62.3,58,13248,8.29,8.25,5.15
"217",2.18,"Premium","I","SI1",63,58,13263,8.23,8.17,5.22
"218",2.02,"Premium","F","SI2",61.3,58,13267,8.09,8.05,4.95
"219",2.12,"Premium","H","SI2",61.5,59,13307,8.26,8.21,5.06
"220",2.06,"Premium","G","SI1",59.3,61,13317,8.44,8.36,4.98
"221",2.15,"Premium","G","SI2",59.7,60,13317,8.4,8.37,5.01
"222",2.14,"Premium","J","SI2",61.5,59,13326,8.3,8.25,5.11
"223",2.01,"Premium","H","VS2",62.8,58,13342,7.99,7.9,4.99
"224",2.19,"Premium","J","SI2",61.8,60,13355,8.35,8.25,5.13
"225",2.21,"Premium","H","SI2",62.9,60,13369,8.27,8.23,5.19
"226",2.13,"Premium","I","SI1",62.5,60,13370,8.18,8.13,5.1
"227",2.01,"Premium","H","SI1",60.6,59,13387,8.23,8.17,4.97
"228",2.01,"Premium","E","SI2",62.2,60,13387,8.02,7.96,4.97
"229",2.17,"Premium","J","SI2",62.3,60,13395,8.33,8.2,5.15
"230",2.01,"Premium","J","VS2",60.5,60,13400,8.13,8.09,4.91
"231",2.01,"Premium","I","SI2",60,61,13400,8.13,8.08,4.86
"232",2,"Premium","G","SI2",62.9,58,13420,7.98,7.92,5
"233",2.14,"Premium","H","SI2",61.2,57,13421,8.36,8.32,5.1
"234",2.08,"Premium","F","SI2",62,60,13437,8.15,8.1,5.04
"235",2.02,"Premium","H","SI1",63,60,13453,7.85,7.79,4.93
"236",2.12,"Premium","H","SI2",61.5,59,13460,8.26,8.21,5.06
"237",2.04,"Premium","J","VS2",61.4,59,13477,8.04,8.14,4.97
"238",2.14,"Premium","G","SI2",60.7,59,13540,8.37,8.31,5.06
"239",2.05,"Premium","J","VS2",62.3,60,13543,8.09,8.15,5.06
"240",2,"Premium","J","VS2",61.5,59,13552,8.06,8.11,4.97
"241",2.22,"Premium","F","SI2",59.2,59,13553,8.54,8.46,5.03
"242",2.17,"Premium","J","SI2",62.3,58,13556,8.31,8.26,5.16
"243",2.3,"Premium","J","SI2",59.7,58,13560,8.63,8.68,5.17
"244",2.41,"Premium","I","SI2",60.7,59,13563,8.7,8.64,5.26
"245",2.01,"Premium","J","VS2",61.5,60,13572,8.13,8.07,4.98
"246",2.01,"Premium","I","SI2",59.2,60,13574,8.31,8.27,4.91
"247",2.11,"Premium","G","SI2",62.2,58,13598,8.19,8.23,5.11
"248",2.01,"Premium","H","VS2",62.6,59,13599,8.02,7.88,4.98
"249",2.04,"Premium","J","VS2",61.4,59,13600,8.14,8.04,4.97
"250",2.01,"Premium","F","SI2",58.4,59,13610,8.26,8.24,4.82
"251",2.01,"Premium","J","VS2",60.4,59,13619,8.1,8.15,4.91
"252",2.21,"Premium","J","SI2",62.7,57,13642,8.33,8.25,5.2
"253",2.02,"Premium","I","SI2",61.4,57,13642,8.18,8.08,4.99
"254",2.05,"Premium","J","VS2",62.3,60,13667,8.15,8.09,5.06
"255",2.07,"Premium","J","VS2",61.5,59,13675,8.16,8.2,5.03
"256",2,"Premium","J","VS2",61.5,59,13675,8.11,8.06,4.97
"257",2.02,"Premium","E","SI2",59.9,58,13677,8.18,8.14,4.89
"258",2.02,"Premium","J","VS2",62,59,13687,8.06,8.08,5
"259",2.11,"Premium","I","SI2",62.3,56,13701,8.23,8.13,5.1
"260",2.22,"Premium","J","SI2",61.8,58,13703,8.42,8.31,5.17
"261",2.29,"Premium","G","SI2",60.1,58,13711,8.63,8.58,5.17
"262",2.2,"Premium","I","SI2",61.8,54,13719,8.45,8.4,5.2
"263",2.07,"Premium","J","SI1",61.7,60,13731,8.23,8.15,5.05
"264",2.04,"Premium","J","VS2",63,58,13734,8.02,7.99,5.04
"265",2.01,"Premium","J","VS2",60.4,59,13744,8.15,8.1,4.91
"266",2.15,"Premium","J","SI1",62.4,60,13746,8.24,8.18,5.12
"267",2.1,"Premium","I","VS2",59.2,60,13753,8.38,8.35,4.95
"268",2.01,"Premium","I","SI1",58.9,59,13755,8.26,8.22,4.85
"269",2.13,"Premium","F","SI2",62.4,58,13760,8.22,8.16,5.11
"270",2.05,"Premium","G","SI1",62.2,56,13767,8.19,8.08,5.06
"271",2.07,"Premium","E","SI2",61.4,58,13786,8.24,8.19,5.04
"272",2.07,"Premium","E","SI2",58.9,61,13786,8.45,8.35,4.95
"273",2.07,"Premium","H","SI1",62,58,13786,8.17,8.09,5.04
"274",2.04,"Premium","H","SI2",62.8,57,13790,8.13,8.08,5.09
"275",2.07,"Premium","J","VS2",61.5,59,13800,8.2,8.16,5.03
