"","carat","cut","color","clarity","depth","table","price","x","y","z"
"276",2.01,"Premium","D","SI2",59.1,60,13811,8.31,8.21,4.88
"277",2.02,"Premium","J","VS2",62,59,13812,8.08,8.06,5
"278",2,"Premium","I","SI2",60.7,61,13820,8.09,8.03,4.89
"279",2.24,"Premium","J","SI2",62.2,59,13827,8.37,8.33,5.19
"280",2.31,"Premium","H","SI2",59.2,61,13831,8.65,8.57,5.1
"281",2.01,"Premium","I","SI2",62.6,56,13833,8.1,8,5.04
"282",2.07,"Premium","H","SI1",61.1,58,13844,8.27,8.2,5.03
"283",2.02,"Premium","H","SI2",62.6,59,13850,8.03,7.97,5.01
"284",2.09,"Premium","J","SI1",62.2,59,13864,8.23,8.16,5.1
"285",2.21,"Premium","H","SI2",59,59,13872,8.51,8.46,5.01
"286",2.12,"Premium","E","SI2",62.4,58,13884,8.22,8.18,5.12
"287",2.26,"Premium","H","SI2",61.1,57,13885,8.45,8.4,5.15
"288",2.06,"Premium","G","SI2",60.7,58,13908,8.18,8.25,4.99
"289",2.06,"Premium","I","SI2",61,61,13912,8.18,8.1,5.02
"290",2.28,"Premium","H","SI1",59.3,58,13919,8.6,8.56,5.09
"291",2.1,"Premium","J","SI1",62.9,58,13930,8.15,8.09,5.11
"292",2.23,"Premium","J","SI2",61.3,60,13931,8.4,8.35,5.13
"293",2.18,"Premium","J","SI1",62.9,59,13938,8.25,8.21,5.18
"294",2.21,"Premium","H","SI1",61.1,58,13983,8.39,8.34,5.11
"295",2,"Premium","H","SI1",59.8,60,13986,8.04,8.01,4.8
"296",2,"Premium","G","SI2",61.1,60,13986,8.1,8.03,4.93
"297",2.02,"Premium","I","SI2",61.1,61,13991,8.11,8.08,4.95
"298",2.02,"Premium","I","SI2",62.9,60,13991,8.05,8.01,5.05
"299",2.07,"Premium","H","SI1",62.7,58,13993,8.14,8.09,5.09
"300",2.11,"Premium","J","SI1",62.4,58,13996,8.27,8.17,5.13
"301",2.09,"Premium","G","SI2",59.8,59,14024,8.37,8.32,4.99
"302",2.21,"Premium","H","SI2",61.3,60,14032,8.35,8.33,5.11
"303",2.3,"Premium","H","SI2",60.6,59,14042,8.4,8.37,5.08
"304",2.3,"Premium","H","SI2",60.6,59,14042,8.4,8.37,5.08
"305",2.08,"Premium","I","SI2",60.8,61,14047,8.24,8.21,5
"306",2.01,"Premium","F","SI2",61.3,58,14067,8.14,8.07,4.97
"307",2.22,"Premium","I","SI1",62.7,58,14095,8.33,8.28,5.21
"308",2.29,"Premium","G","SI2",62.5,59,14108,8.38,8.33,5.22
"309",2,"Premium","H","SI1",59.8,60,14126,8.04,8.01,4.8
"310",2.23,"Premium","J","SI1",62.4,59,14129,8.33,8.36,5.21
"311",2.04,"Premium","H","SI2",62.8,58,14184,8.11,8.06,5.08
"312",2.35,"Premium","I","SI1",61.8,58,14185,8.58,8.44,5.26
"313",2,"Premium","I","SI2",58.6,61,14199,8.28,8.16,4.82
"314",2,"Premium","I","SI2",61.3,59,14208,8.13,8.09,4.97
"315",2.02,"Premium","I","SI2",59.4,59,14211,8.21,8.25,4.89
"316",3.01,"Premium","G","SI2",59.8,58,14220,9.44,9.37,5.62
"317",2.05,"Premium","J","VS1",62.4,58,14224,8.08,8.13,5.06
"318",2.02,"Premium","I","VS1",60.5,62,14238,8.18,8.15,4.94
"319",2.02,"Premium","I","SI1",61.4,58,14240,8.14,8.07,4.98
"320",2.23,"Premium","J","SI1",62.4,59,14258,8.36,8.33,5.21
"321",2.01,"Premium","F","SI2",62.4,58,14279,8.08,8.05,5.03
"322",2.21,"Premium","H","SI2",61.3,60,14299,8.35,8.33,5.11
"323",2,"Premium","H","SI1",63,54,14319,8.07,7.99,5.06
"324",2.16,"Premium","J","SI1",60.5,59,14328,8.41,8.35,5.07
"325",2.02,"Premium","J","VS2",62.1,59,14330,8.08,7.98,4.99
"326",2.02,"Premium","I","SI2",59.4,59,14341,8.25,8.21,4.89
"327",2.02,"Premium","I","SI2",61.7,58,14350,8.07,8,4.96
"328",2.55,"Premium","I","SI2",62.9,58,14351,8.7,8.59,5.44
"329",2.1,"Premium","J","VS2",61.3,59,14359,8.27,8.21,5.05
"330",2.27,"Premium","I","SI1",61,58,14362,8.42,8.4,5.19
"331",2.01,"Premium","H","SI2",62,60,14364,8.11,8.04,5.02
"332",2.1,"Premium","I","VS2",60.7,61,14394,8.28,8.27,5.02
"333",2.35,"Premium","J","VS1",60.7,60,14399,8.64,8.6,5.23
"334",2,"Premium","D","SI2",61,58,14406,8.06,7.97,4.89
"335",2.05,"Premium","J","VS1",60.1,58,14411,8.19,8.25,4.94
"336",2.01,"Premium","I","SI2",62.1,56,14428,8.11,8.06,5.02
"337",2.01,"Premium","I","SI2",62.9,58,14444,8.05,8,5.05
"338",2.17,"Premium","H","SI1",59.9,61,14452,8.39,8.38,5.02
"339",2.08,"Premium","H","SI2",58.8,60,14462,8.39,8.35,4.92
"340",2.07,"Premium","H","SI1",61.2,60,14476,8.2,8.12,4.99
"341",2.06,"Premium","I","SI1",60.9,61,14488,8.32,8.16,4.99
"342",2.14,"Premium","H","SI1",62.3,58,14490,8.28,8.22,5.14
"343",2.01,"Premium","F","SI1",59.5,58,14502,8.21,8.18,4.88
"344",2.01,"Premium","H","SI1",60.2,58,14502,8.06,8.03,4.84
"345",2.01,"Premium","E","SI2",62.6,58,14502,8.01,7.93,4.99
"346",2.51,"Premium","H","SI2",59.3,61,14543,8.81,8.77,5.21
"347",2.51,"Premium","H","SI2",60.6,61,14543,8.88,8.68,5.29
"348",2.01,"Premium","H","SI2",62.3,60,14558,7.97,7.95,4.96
"349",2.01,"Premium","I","SI1",60.1,59,14558,8.24,8.19,4.94
"350",2.02,"Premium","E","SI2",60.4,57,14574,8.21,8.18,4.95
"351",2.02,"Premium","H","SI1",62.2,59,14574,8.09,8.05,5.02
"352",2.09,"Premium","H","SI2",61.4,60,14581,8.24,8.2,5.05
"353",2.03,"Premium","J","VS1",59.3,60,14588,8.36,8.28,4.93
"354",2.04,"Premium","I","SI2",59.8,59,14605,8.3,8.23,4.94
"355",2.11,"Premium","I","SI2",58.4,62,14615,8.43,8.39,4.91
"356",2.06,"Premium","E","SI2",58.8,58,14634,8.42,8.35,4.93
"357",2.38,"Premium","G","SI2",62.4,58,14648,8.59,8.47,5.32
"358",2.53,"Premium","H","SI2",62.6,60,14659,8.66,8.55,5.39
"359",2.04,"Premium","J","VS1",62.6,58,14660,8.11,8.06,5.06
"360",2.04,"Premium","I","SI2",60.3,60,14660,8.26,8.19,4.96
"361",2.22,"Premium","I","VS2",60.5,59,14662,8.41,8.37,5.08
"362",2.32,"Premium","J","SI2",62.5,58,14666,8.47,8.43,5.28
"363",2.32,"Premium","J","SI2",59,59,14666,8.69,8.64,5.11
"364",2.33,"Premium","J","SI1",59.9,59,14711,8.7,8.65,5.2
"365",2.54,"Premium","H","SI2",61.3,58,14717,8.8,8.7,5.36
"366",2.43,"Premium","I","SI2",62.2,60,14727,8.59,8.53,5.33
"367",2.01,"Premium","I","SI1",60.1,59,14752,8.21,8.15,4.92
"368",2,"Premium","I","VS2",58.5,61,14763,8.28,8.19,4.82
"369",2.04,"Premium","I","SI1",58.8,60,14775,8.42,8.32,4.92
"370",2.02,"Premium","F","SI2",61.5,60,14790,8.15,8.05,4.98
"371",2.06,"Premium","I","SI2",61.8,58,14803,8.22,8.11,5.05
"372",2.37,"Premium","I","VS2",61.6,56,14837,8.7,8.6,5.33
"373",2.06,"Premium","H","SI1",62.4,59,14863,8.11,8.07,5.05
"374",2.23,"Premium","J","VS2",61,58,14867,8.39,8.36,5.11
"375",2.04,"Premium","H","SI1",58,59,14888,8.4,8.27,4.83
"376",2.04,"Premium","G","SI2",62.1,59,14900,8.14,8.06,5.03
"377",2,"Premium","G","SI1",59.3,60,14918,8.19,8.13,4.84
"378",2,"Premium","G","SI1",59,62,14918,6.16,6.15,4.82
"379",2.08,"Premium","J","VS2",60.3,59,14933,8.29,8.23,4.98
"380",2.27,"Premium","I","SI2",62.5,59,14937,8.45,8.39,5.26
"381",2.01,"Premium","G","SI2",59.4,62,14939,8.27,8.22,4.9
"382",2.04,"Premium","H","SI2",60.8,58,14945,8.23,8.14,4.98
"383",2.08,"Premium","I","SI2",62.3,58,14947,8.18,8.13,5.08
"384",2.01,"Premium","E","SI2",61.2,58,14948,8.07,8.05,4.93
"385",2.47,"Premium","I","SI2",62.5,56,14970,8.65,8.6,5.39
"386",2.05,"Premium","J","VS1",62.5,60,14973,8.09,8.14,5.07
"387",2.06,"Premium","I","SI2",61,59,14982,8.24,8.21,5.02
"388",2.06,"Premium","I","SI2",60.1,58,14982,8.32,8.26,4.98
"389",2.1,"Premium","I","SI1",61.5,57,15007,8.25,8.21,5.06
"390",2.02,"Premium","G","SI2",63,59,15014,8.05,7.95,5.03
"391",2.8,"Premium","I","SI2",61.1,59,15030,9.03,8.98,5.5
"392",2.19,"Premium","I","SI2",60.8,60,15032,8.34,8.38,5.08
"393",2.09,"Premium","J","VS1",61.2,59,15035,8.22,8.31,5.06
"394",2.07,"Premium","I","SI2",60.5,60,15055,8.32,8.27,5.02
"395",2.2,"Premium","J","VS1",61.7,59,15064,8.3,8.34,5.13
"396",2.08,"Premium","I","SI1",60.3,59,15065,8.26,8.22,4.97
"397",2.05,"Premium","J","VS1",60.1,58,15067,8.25,8.19,4.94
"398",2.03,"Premium","I","SI1",59.9,58,15095,8.23,8.21,4.92
"399",2,"Premium","H","SI1",62,56,15096,8.05,7.94,4.96
"400",2.12,"Premium","I","SI2",60.6,59,15097,8.27,8.3,5.02
"401",2.01,"Premium","G","SI1",61.8,59,15105,8.15,8.09,5.02
"402",2.05,"Premium","J","VS1",62.5,60,15109,8.14,8.09,5.07
"403",2.13,"Premium","J","VS2",59.6,59,15110,8.43,8.37,5.01
"404",2.01,"Premium","F","SI1",63,59,15134,7.99,7.89,5
"405",2.01,"Premium","G","SI2",62.3,60,15147,8.04,7.97,4.99
"406",2.53,"Premium","H","SI2",61.1,57,15148,8.82,8.76,5.37
"407",2.19,"Premium","I","SI2",60.8,60,15169,8.38,8.34,5.08
"408",2.19,"Premium","I","SI2",62.5,58,15169,8.31,8.26,5.18
"409",2.1,"Premium","G","SI2",62.6,56,15175,8.2,8.16,5.12
"410",2.22,"Premium","I","SI2",62.9,59,15184,8.24,8.2,5.17
"411",2.01,"Premium","J","VS1",60.1,59,15185,8.25,8.18,4.94
"412",2.11,"Premium","D","SI2",58.7,60,15198,8.45,8.41,4.95
"413",2.2,"Premium","J","VS1",61.7,59,15201,8.34,8.3,5.13
"414",2,"Premium","J","VVS2",63,59,15214,8,7.97,5.03
"415",2.04,"Premium","G","SI1",60.7,62,15217,8.3,8.15,4.96
"416",4.01,"Premium","I","I1",61,61,15223,10.14,10.1,6.17
"417",4.01,"Premium","J","I1",62.5,62,15223,10.02,9.94,6.24
"418",2.12,"Premium","I","SI2",60.6,59,15235,8.3,8.27,5.02
"419",2.2,"Premium","I","SI2",63,59,15238,8.22,8.19,5.17
"420",2.41,"Premium","H","SI2",58.7,61,15248,8.85,8.76,5.17
"421",2.05,"Premium","G","SI1",61.6,59,15291,8.2,8.16,5.04
"422",2.05,"Premium","G","SI1",61.6,59,15291,8.2,8.16,5.04
"423",2,"Premium","H","SI2",60.7,60,15312,8.07,8.11,4.91
"424",2.41,"Premium","J","VS1",61.1,60,15320,8.66,8.6,5.27
"425",2.08,"Premium","I","SI2",61.2,58,15321,8.24,8.16,5.02
"426",2.03,"Premium","G","SI1",61.9,59,15322,8.14,8.09,5.02
"427",2.31,"Premium","J","SI1",61.1,60,15323,8.58,8.51,5.22
"428",2.09,"Premium","I","SI1",60.8,59,15339,8.28,8.24,5.02
"429",2.29,"Premium","G","SI2",62.4,60,15366,8.41,8.36,5.23
"430",2.24,"Premium","I","SI2",61.9,58,15375,8.29,8.36,5.15
"431",2.01,"Premium","I","VS2",62.1,59,15379,7.98,8.06,4.98
"432",2.07,"Premium","I","SI1",59.4,61,15392,8.35,8.31,4.95
"433",2.06,"Premium","I","VS1",58.4,55,15393,8.42,8.35,4.9
"434",2.01,"Premium","H","VS2",62.6,58,15395,8.03,7.94,5
"435",2.25,"Premium","I","SI1",61.3,58,15397,8.52,8.42,0
"436",2.04,"Premium","E","SI2",62.7,60,15398,8.04,8,5.03
"437",2.28,"Premium","H","SI2",62.5,58,15413,8.39,8.33,5.23
"438",2.75,"Premium","H","SI2",60.5,61,15415,8.99,8.97,5.48
"439",2.14,"Premium","I","VS2",59.3,59,15418,8.39,8.43,5
"440",2.26,"Premium","H","SI2",61.3,60,15428,8.5,8.43,5.19
"441",2,"Premium","H","SI2",59.7,61,15451,8.2,8.15,4.88
"442",2,"Premium","H","SI2",60.7,60,15451,8.11,8.07,4.91
"443",2.18,"Premium","J","VS2",60.1,58,15465,8.46,8.41,5.07
"444",2.01,"Premium","I","VS1",61.5,62,15475,8.07,7.94,4.92
"445",2,"Premium","G","SI2",60.1,62,15485,8.07,8,4.83
"446",2.06,"Premium","I","SI1",60.8,60,15494,8.25,8.16,4.99
"447",2.02,"Premium","G","SI2",61,58,15498,8.15,8.22,4.99
"448",2.14,"Premium","I","SI1",59.5,59,15499,8.42,8.36,4.99
"449",2.24,"Premium","I","SI2",61.9,58,15515,8.36,8.29,5.15
"450",2.06,"Premium","I","SI1",61,58,15517,8.24,8.19,5.01
"451",2.01,"Premium","I","VS2",62.1,59,15520,8.06,7.98,4.98
"452",2.01,"Premium","H","VS2",61.1,61,15528,8.14,8.09,4.96
"453",2.01,"Premium","I","SI1",62.4,61,15528,8.01,7.99,4.99
"454",2.01,"Premium","I","SI1",60.9,60,15528,8.1,8.06,4.92
"455",2.04,"Premium","I","SI2",60.2,59,15543,8.28,8.22,4.97
"456",2.14,"Premium","I","VS2",59.3,59,15559,8.43,8.39,5
"457",2.01,"Premium","G","SI2",59.4,58,15562,8.19,8.15,4.85
"458",2.02,"Premium","H","SI2",61.4,59,15606,8.15,8.08,4.98
"459",2.1,"Premium","I","SI1",59.9,61,15615,8.34,8.26,4.97
"460",2.04,"Premium","G","SI2",60.3,59,15651,8.23,8.3,4.98
"461",2.01,"Premium","H","VS2",62.8,59,15651,8.03,7.97,5.02
"462",2,"Premium","I","VS2",59.5,62,15651,8.21,8.13,4.86
"463",2.08,"Premium","I","VVS1",62.2,58,15654,8.22,8.18,5.1
"464",2.01,"Premium","H","SI2",62.2,61,15673,8.08,8.04,5.01
"465",2.03,"Premium","I","SI1",61.4,58,15683,8.13,8.09,4.98
"466",2.01,"Premium","I","SI1",62.4,61,15707,8.01,7.99,4.99
"467",2.06,"Premium","I","SI1",60.8,60,15716,8.25,8.16,4.99
"468",2.15,"Premium","G","SI2",58.9,58,15751,8.46,8.41,4.97
"469",2.11,"Premium","G","SI2",59.1,59,15757,8.33,8.4,4.94
"470",2.04,"Premium","H","SI2",62.7,56,15760,8.12,8.06,5.07
"471",2.01,"Premium","H","SI2",62.3,58,15773,8.06,8.11,5.04
"472",2.27,"Premium","H","SI2",60.7,59,15783,8.5,8.45,5.15
"473",2.19,"Premium","H","SI1",62.3,62,15801,8.27,8.25,5.15
"474",2.02,"Premium","I","VS2",62.9,59,15808,8.03,7.93,5.02
"475",2.34,"Premium","I","SI1",61.7,60,15818,8.59,8.53,5.28
"476",2.1,"Premium","I","SI1",61.5,59,15818,8.28,8.24,5.08
"477",2.01,"Premium","J","VVS1",62.2,58,15836,8.1,7.89,5
"478",2.05,"Premium","I","SI1",61.2,57,15837,8.24,8.21,5.03
"479",2.01,"Premium","F","SI2",59.5,59,15841,8.24,8.15,4.88
"480",2.08,"Premium","E","SI2",62.3,59,15873,8.22,8.16,5.1
"481",2.05,"Premium","I","VS2",62.5,59,15897,8.07,8.12,5.06
"482",2,"Premium","G","SI2",62.1,59,15897,8.12,8.02,5.01
"483",2.2,"Premium","G","SI2",60.4,60,15897,8.44,8.36,5.08
"484",2.01,"Premium","H","VS2",61.1,61,15908,8.14,8.09,4.96
"485",2.14,"Premium","I","SI1",61.3,61,15913,8.32,8.28,5.09
"486",2.14,"Premium","I","SI2",60.1,58,15915,8.41,8.37,5.04
"487",2.01,"Premium","H","SI2",62.3,58,15917,8.11,8.06,5.04
"488",2.39,"Premium","H","SI1",61.8,58,15917,8.57,8.52,5.28
"489",2.01,"Premium","H","SI2",63,59,15917,7.93,7.9,4.99
"490",2.4,"Premium","J","SI1",59.7,58,15920,8.75,8.71,5.21
"491",2.03,"Premium","H","SI2",61.6,58,15930,8.09,8.17,5.01
"492",2.5,"Premium","H","SI2",62.4,59,15934,8.61,8.54,5.35
"493",2.01,"Premium","I","VS2",60.3,62,15939,8.13,8.08,4.89
"494",2.01,"Premium","I","VS2",60.3,62,15939,8.13,8.08,4.89
"495",2.06,"Premium","G","SI2",59.8,61,15949,8.26,8.22,4.93
"496",2.21,"Premium","G","SI2",60.7,62,15970,8.48,8.42,5.13
"497",2.01,"Premium","G","SI2",59.8,58,15977,8.21,8.15,4.89
"498",2,"Premium","H","SI1",60.1,61,15984,8.13,8.1,4.88
"499",2,"Premium","E","SI2",58.1,60,15984,8.32,8.25,4.81
"500",2.02,"Premium","H","VS2",61.3,60,15987,8.16,8.11,4.99
"501",2.3,"Premium","H","SI2",62.7,56,15992,8.46,8.42,5.29
"502",2.07,"Premium","I","SI1",62.3,60,15992,8.16,8.12,5.07
"503",2.02,"Premium","H","SI2",59.9,55,15996,8.28,8.17,4.93
"504",2.25,"Premium","J","SI1",61.8,61,16004,8.46,8.39,5.21
"505",2.37,"Premium","H","SI2",62.3,57,16021,8.55,8.5,5.31
"506",2.23,"Premium","J","VS1",61.7,58,16025,8.41,8.34,5.17
"507",2,"Premium","H","SI2",62.8,56,16031,8.04,7.98,5.03
"508",2.01,"Premium","E","SI2",58.7,54,16064,8.27,8.2,4.83
"509",2,"Premium","I","VS2",58.6,62,16068,8.2,8.17,4.8
"510",2.03,"Premium","H","SI2",61.6,58,16075,8.17,8.09,5.01
"511",2.24,"Premium","I","SI2",62.5,59,16097,8.36,8.28,5.2
"512",2.06,"Premium","H","SI2",60,60,16098,6.29,6.25,4.96
"513",2.31,"Premium","J","VVS1",62.1,58,16100,8.49,8.42,5.25
"514",2.1,"Premium","G","SI2",60.9,57.4,16112,8.17,8.27,5
"515",2.01,"Premium","I","VS2",61.6,61,16149,8.08,7.97,4.94
"516",2.28,"Premium","J","VS1",60.3,58,16174,8.58,8.53,5.16
"517",2.2,"Premium","I","SI2",62.4,55,16190,8.41,8.34,5.23
"518",2.02,"Premium","I","SI1",62.5,59,16191,8.05,8.01,5.02
"519",3.67,"Premium","I","I1",62.4,56,16193,9.86,9.81,6.13
"520",2.58,"Premium","H","SI2",62.6,57,16195,8.77,8.73,5.48
"521",2.42,"Premium","J","SI2",62.3,58,16198,8.63,8.55,5.35
"522",2.42,"Premium","J","SI2",58.5,59,16198,8.85,8.82,5.17
"523",2.42,"Premium","J","SI2",62.4,58,16198,8.58,8.53,5.34
"524",2.05,"Premium","H","VS2",60.7,61,16235,8.25,8.13,4.97
"525",2.32,"Premium","F","SI2",62.5,59,16237,8.51,8.44,5.3
"526",2.26,"Premium","I","SI2",62,58,16241,8.4,8.37,5.2
"527",2.01,"Premium","G","SI1",62.3,61,16242,7.96,7.89,5.02
"528",2,"Premium","G","SI2",61.8,58,16262,8.05,7.99,4.96
"529",2.38,"Premium","J","VS2",62.6,59,16273,8.52,8.49,5.32
"530",2.51,"Premium","J","SI2",59.3,58,16278,8.83,8.87,5.25
"531",2.01,"Premium","H","SI1",58.2,62,16287,8.26,8.21,4.79
"532",2.01,"Premium","H","SI2",60.5,61,16287,8.14,8.09,4.91
"533",2.4,"Premium","J","SI1",59.7,58,16304,8.75,8.71,5.21
"534",2.03,"Premium","I","VS2",60.5,62,16309,8.22,8.17,4.96
"535",2.03,"Premium","I","VS2",58.5,60,16309,8.37,8.34,4.89
"536",2.65,"Premium","G","SI2",62,61,16314,8.82,8.75,5.45
"537",2.02,"Premium","G","SI1",62.3,61,16323,8.07,7.96,4.99
"538",2.11,"Premium","G","SI2",62.2,60,16336,8.19,8.15,5.08
"539",2.35,"Premium","H","SI2",62.3,58,16340,8.51,8.44,5.28
"540",2.1,"Premium","F","SI2",62.1,59,16357,8.16,8.18,5.07
"541",2.05,"Premium","G","SI2",60.1,59,16357,8.2,8.3,4.96
"542",2.02,"Premium","I","SI1",60.9,60,16368,8.13,8.1,4.94
"543",2.28,"Premium","J","VS2",62.4,58,16369,8.45,8.35,5.24
"544",2.14,"Premium","H","VS2",61.7,58,16390,8.28,8.22,5.09
"545",2.07,"Premium","I","SI1",62.9,59,16392,8.15,8.09,5.11
"546",2.11,"Premium","H","VS2",60.8,61,16395,8.32,8.28,5.05
"547",2.16,"Premium","H","SI2",59.7,60,16400,8.38,8.3,4.98
